                        large_lambda  small_lambda
(Intercept)            -1.215102e-01 -4.034970e+01
PAR_TC                 -1.026803e-12 -2.041893e-01
PAR_SC                 -8.599977e-15  3.563641e-04
PAR_SC_V                6.084331e-12 -1.742228e-02
PAR_ASE1                7.725335e-10 -1.474826e+01
PAR_ASE2                9.107523e-10  1.845610e+01
PAR_ASE3                9.164949e-10  1.536168e+01
PAR_ASE4                8.502809e-10  1.388922e+01
PAR_ASE5                7.386697e-10  5.529597e+00
PAR_ASE6                5.872890e-10 -2.532872e+00
PAR_ASE7                4.325242e-10 -4.862466e+00
PAR_ASE8                2.388645e-10 -5.452986e+00
PAR_ASE9               -1.878815e-11 -3.026544e+00
PAR_ASE10              -3.047169e-10 -1.054136e+01
PAR_ASE11              -3.519612e-10 -8.493944e+00
PAR_ASE12              -4.767426e-10  2.070383e+01
PAR_ASE13              -9.140107e-10 -5.928026e+00
PAR_ASE14              -9.391169e-10 -6.523414e+00
PAR_ASE15              -1.052951e-09 -1.187938e+01
PAR_ASE16              -1.001889e-09 -1.154166e+01
PAR_ASE17              -1.058492e-09 -1.422705e+01
PAR_ASE18              -8.393952e-10  1.825440e+01
PAR_ASE19              -8.694337e-10  2.289590e+01
PAR_ASE20              -9.494011e-10  9.977525e-01
PAR_ASE21              -8.826716e-10 -5.647862e-01
PAR_ASE22              -8.841043e-10  5.125113e+00
PAR_ASE23              -6.865588e-10  1.087830e+01
PAR_ASE24              -6.547615e-10  5.460851e+00
PAR_ASE25              -5.221569e-10  1.783243e+00
PAR_ASE26              -3.941546e-10  2.564246e+00
PAR_ASE27              -2.420104e-10 -2.269321e+00
PAR_ASE28               1.175268e-10  2.047714e+00
PAR_ASE29               3.366322e-10 -4.018680e+00
PAR_ASE30               5.956739e-10  2.130530e+01
PAR_ASE31               4.898607e-10 -5.667850e+00
PAR_ASE32               7.564151e-10  2.548278e+01
PAR_ASE33              -1.664324e-10  2.246929e+00
PAR_ASE34              -1.818681e-10 -1.371454e+00
PAR_ASEV1               7.100039e-08  7.174741e+02
PAR_ASEV2               5.353076e-08  5.437530e+02
PAR_ASEV3               4.201955e-08  1.167523e+02
PAR_ASEV4               2.520218e-08 -4.810244e+02
PAR_ASEV5               1.247440e-08  2.226721e+02
PAR_ASEV6               1.411354e-11 -1.497053e+02
PAR_ASEV7              -1.374294e-08 -6.068911e+02
PAR_ASEV8              -2.856097e-08 -1.038416e+03
PAR_ASEV9              -2.352962e-08 -3.971316e+02
PAR_ASEV10             -1.961500e-08 -3.584328e+02
PAR_ASEV11              4.411928e-09 -1.845700e+01
PAR_ASEV12              1.937045e-08 -1.508449e+02
PAR_ASEV13              1.660435e-08  1.389245e+02
PAR_ASEV14              2.505749e-08 -1.793964e+02
PAR_ASEV15              3.753856e-08  1.016604e+03
PAR_ASEV16              4.297969e-08  4.043015e+02
PAR_ASEV17              3.761841e-08  2.039036e+02
PAR_ASEV18              2.063145e-08 -3.234050e+02
PAR_ASEV19              1.868779e-08 -1.293452e+03
PAR_ASEV20              1.276340e-08 -7.062630e+02
PAR_ASEV21              4.409280e-08 -1.572583e+02
PAR_ASEV22              3.701179e-08 -1.486268e+02
PAR_ASEV23              3.267101e-08  2.663466e+02
PAR_ASEV24              3.625371e-08  1.241275e+03
PAR_ASEV25              3.980368e-08  1.705189e+03
PAR_ASEV26              3.244602e-08  1.386746e+03
PAR_ASEV27              3.540336e-08  1.704006e+03
PAR_ASEV28              5.897335e-08  2.944426e+03
PAR_ASEV29              6.487089e-08 -2.698574e+02
PAR_ASEV30              6.076101e-08  5.768520e+02
PAR_ASEV31              3.394672e-08  3.960476e+01
PAR_ASEV32              1.641747e-08 -2.112839e+02
PAR_ASEV33              2.713886e-08 -7.285781e+02
PAR_ASEV34              3.156094e-08 -9.359468e+01
PAR_ASC                -2.439456e-11 -6.374985e-01
PAR_ASC_V               1.571352e-11 -2.138092e-01
PAR_ASS                 3.841290e-11 -8.852050e-01
PAR_ASS_V               2.238199e-10  3.377890e+00
PAR_SFM1                1.305023e-10 -2.008093e-01
PAR_SFM2                3.865222e-09 -2.573767e+01
PAR_SFM3               -1.186095e-10 -2.241864e+01
PAR_SFM4                2.401633e-10 -5.956444e-01
PAR_SFM5                3.639614e-10 -1.594258e+01
PAR_SFM6                4.896389e-10 -8.027240e+00
PAR_SFM7                6.337907e-10 -2.921508e+01
PAR_SFM8                1.120026e-09 -7.934884e+00
PAR_SFM9                7.515283e-10  1.647867e+01
PAR_SFM10               1.157180e-09  3.491579e+01
PAR_SFM11               1.244063e-09  1.345402e+01
PAR_SFM12               1.201358e-09 -6.918497e+00
PAR_SFM13               5.582563e-10 -8.218723e+00
PAR_SFM14               8.185481e-10 -2.210069e+01
PAR_SFM15               1.092225e-09  1.897639e+00
PAR_SFM16               1.487768e-09  6.870983e+01
PAR_SFM17               6.800071e-10  1.080301e+01
PAR_SFM18               8.743874e-10  1.067650e+01
PAR_SFM19               1.026355e-09 -2.361312e+00
PAR_SFM20               1.079125e-09 -1.036404e+01
PAR_SFM21               6.660529e-10  8.423063e-01
PAR_SFM22               9.161738e-10  4.553290e+01
PAR_SFM23              -2.244685e-10 -2.965813e-01
PAR_SFM24              -1.685514e-08  6.017292e+02
PAR_SFMV1              -2.996038e-09 -1.301972e+02
PAR_SFMV2              -2.431931e-06 -6.869762e+04
PAR_SFMV3               1.322902e-08  2.758455e+02
PAR_SFMV4               1.899923e-08  1.239109e+02
PAR_SFMV5               4.759223e-08 -1.577866e+02
PAR_SFMV6               6.746928e-08  2.124672e+01
PAR_SFMV7               1.351191e-07  8.691837e+02
PAR_SFMV8               2.186605e-07  9.538703e+02
PAR_SFMV9               5.544254e-08  2.366966e+02
PAR_SFMV10              7.750933e-08  3.598213e+02
PAR_SFMV11              1.240890e-07  1.492816e+03
PAR_SFMV12              1.790829e-07  1.315959e+03
PAR_SFMV13              3.293795e-08  4.569816e+02
PAR_SFMV14              5.562177e-08  3.326903e+02
PAR_SFMV15              4.474381e-08 -8.895650e+02
PAR_SFMV16              4.163210e-08 -1.129086e+03
PAR_SFMV17             -6.569652e-09 -3.817049e+02
PAR_SFMV18             -1.608080e-08 -1.379329e+02
PAR_SFMV19             -3.045721e-08 -7.401727e+02
PAR_SFMV20             -2.667557e-08  1.515224e+03
PAR_SFMV21             -1.357302e-08  4.541776e+02
PAR_SFMV22             -1.589213e-08 -4.005169e+01
PAR_SFMV23             -2.403050e-08 -9.188836e+01
PAR_SFMV24              2.107439e-06  5.757794e+04
PAR_MFCC1              -4.804437e-12  1.077293e-01
PAR_MFCC2               1.962907e-11 -2.252406e-01
PAR_MFCC3              -7.654976e-12 -7.332127e-01
PAR_MFCC4               2.855391e-11  2.489373e-01
PAR_MFCC5               2.382957e-11  1.094378e+00
PAR_MFCC6               3.596358e-11 -5.590443e-01
PAR_MFCC7               2.658056e-11  3.463405e-01
PAR_MFCC8               7.098491e-11  2.812354e+00
PAR_MFCC9               4.636719e-14 -1.773414e+00
PAR_MFCC10              4.348925e-11  2.491185e+00
PAR_MFCC11              4.523375e-11 -1.232993e+00
PAR_MFCC12              1.194078e-10  3.997233e+00
PAR_MFCC13              1.270660e-12 -3.195699e-01
PAR_MFCC14              6.532940e-11  1.162699e-01
PAR_MFCC15              3.185554e-11  2.154017e+00
PAR_MFCC16              8.448112e-11  1.212590e+00
PAR_MFCC17              2.722592e-11  2.232249e+00
PAR_MFCC18              8.432561e-11  5.146863e-01
PAR_MFCC19              4.014209e-11 -1.103886e+00
PAR_MFCC20              6.415801e-11  1.039708e+00
PAR_THR_1RMS_TOT        3.691258e-10  1.378742e+01
PAR_THR_2RMS_TOT       -1.039822e-09 -6.392411e+01
PAR_THR_3RMS_TOT       -1.900781e-09 -7.644848e+01
PAR_THR_1RMS_10FR_MEAN -1.317929e-10  6.029243e+00
PAR_THR_1RMS_10FR_VAR   8.861995e-10  3.064929e+01
PAR_THR_2RMS_10FR_MEAN -3.986472e-11 -3.436810e+01
PAR_THR_2RMS_10FR_VAR   1.292976e-07  1.159559e+03
PAR_THR_3RMS_10FR_MEAN  3.913177e-09  2.276204e+02
PAR_THR_3RMS_10FR_VAR   3.918200e-07 -6.741926e+03
PAR_PEAK_RMS_TOT       -1.946933e-12 -4.544374e-02
PAR_PEAK_RMS10FR_MEAN   1.825346e-14 -3.258584e-04
PAR_PEAK_RMS10FR_VAR    1.133396e-17  9.245977e-07
PAR_ZCD                 8.363275e-11  6.013731e-01
PAR_1RMS_TCD            1.933075e-10  9.694283e+00
PAR_2RMS_TCD            6.028476e-10  2.818106e+01
PAR_3RMS_TCD            7.987958e-11  5.485935e+01
